season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2022-23,2022-09-24,signing,other_signing,ORL,1,simpsza01,1,0,0,False,The Orlando Magic signed Zavier Simpson.
2022-23,2022-09-25,signing,other_signing,UTA,1,zelleco01,1,0,0,False,The Utah Jazz signed Cody Zeller.
2022-23,2022-09-25,signing,other_signing,NYK,1,harrija01,1,0,0,False,The New York Knicks signed Jalen Harris.
2022-23,2022-09-25,signing,other_signing,CHI,1,antetko01,1,0,0,False,The Chicago Bulls signed Kostas Antetokounmpo.
2022-23,2022-09-25,waiver,,LAL,1,whitefa01,1,0,0,False,The Los Angeles Lakers waived Fabian White Jr..
2022-23,2022-09-25,waiver,,DET,1,edwarky01,1,0,0,False,The Detroit Pistons waived Kyler Edwards.
2022-23,2022-09-25,waiver,,DEN,1,tillmju01,1,0,0,False,The Denver Nuggets waived Justin Tillman.
2022-23,2022-09-25,signing,other_signing,DET,1,umudest01,1,0,0,False,The Detroit Pistons signed Stanley Umude.
2022-23,2022-09-25,signing,other_signing,DET,1,bernaju01,1,0,0,False,The Detroit Pistons signed Jules Bernard.
2022-23,2022-09-25,signing,other_signing,BRK,1,zegarma01,1,0,0,False,The Brooklyn Nets signed Marcus Zegarowski.
2022-23,2022-09-26,waiver,,NYK,1,omotnu01,1,0,0,False,The New York Knicks waived Nuni Omot.
2022-23,2022-09-26,waiver,,NYK,1,brookga01,1,0,0,False,The New York Knicks waived Garrison Brooks.
2022-23,2022-09-26,signing,other_signing,NOP,1,mccolcj01,1,0,0,False,The New Orleans Pelicans signed CJ McCollum to a contract extension.
2022-23,2022-09-26,signing,other_signing,MIN,1,doziepj01,1,0,0,False,The Minnesota Timberwolves signed P.J. Dozier.
2022-23,2022-09-26,signing,contract,MIL,1,nworajo01,1,0,0,False,The Milwaukee Bucks signed Jordan Nwora to a multi-year contract.
2022-23,2022-09-26,signing,other_signing,DEN,1,goldegr01,1,0,0,False,The Denver Nuggets signed Grant Golden.
2022-23,2022-09-26,signing,other_signing,CHO,1,ballli01,1,0,0,False,The Charlotte Hornets signed LiAngelo Ball.
2022-23,2022-09-26,signing,other_signing,GSW,1,iguodan01,1,0,0,False,The Golden State Warriors signed Andre Iguodala.
2022-23,2022-09-26,signing,other_signing,BRK,1,grayra01,1,0,0,False,The Brooklyn Nets signed RaiQuan Gray.
2022-23,2022-09-26,signing,other_signing,LAL,1,ryanma01,1,0,0,False,The Los Angeles Lakers signed Matt Ryan.
2022-23,2022-09-26,signing,other_signing,LAL,1,bacondw01,1,0,0,False,The Los Angeles Lakers signed Dwayne Bacon.
2022-23,2022-09-27,trade,,ATL/OKC,2,harklma01/krejcvi01,2,1,1,False,The Atlanta Hawks traded Maurice Harkless to the Oklahoma City Thunder for Vit Krejci. Atlanta also received a trade exception Oklahoma City also received a trade exception
2022-23,2022-09-27,waiver,,WAS,1,mintzda01,1,0,0,False,The Washington Wizards waived Davion Mintz.
2022-23,2022-09-27,signing,other_signing,WAS,1,dotsode01,1,0,0,False,The Washington Wizards signed Devon Dotson.
2022-23,2022-09-27,signing,other_signing,CLE,1,wadede01,1,0,0,False,The Cleveland Cavaliers signed Dean Wade to a contract extension.
2022-23,2022-09-29,signing,other_signing,BRK,1,gateska01,1,0,0,False,The Brooklyn Nets signed Kaiser Gates.
2022-23,2022-09-29,waiver,,BRK,1,zegarma01,1,0,0,False,The Brooklyn Nets waived Marcus Zegarowski.
2022-23,2022-09-30,signing,two_way,HOU,1,fernabr01,1,0,0,False,The Houston Rockets signed Bruno Fernando to a two-way contract.
2022-23,2022-09-30,trade,,HOU/OKC,2,brownst02/burketr01/chrisma01/nwabada01/favorde01/harklma01/jeromty01/maledth01/nickety01,9,4,5,True,"The Houston Rockets traded Sterling Brown, Trey Burke, Marquese Chriss and David Nwaba to the Oklahoma City Thunder for Derrick Favors, Maurice Harkless, Ty Jerome, Theo Maledon, a 2026 draft pick (cash was later selected) and a 2026 2nd round draft pick (Tyler Nickel was later selected). Oklahoma City also received a trade exception 2026 2nd-rd pick was second-most favorable of OKC/DAL/PHI, became PHI 2026 2nd-rd pick Houston also received a trade exception"
2022-23,2022-09-30,waiver,,BOS,1,valende01,1,0,0,False,The Boston Celtics waived Denzel Valentine.
2022-23,2022-10-01,waiver,,HOU,1,jeromty01,1,0,0,False,The Houston Rockets waived Ty Jerome.
2022-23,2022-10-01,waiver,,BRK,1,gateska01,1,0,0,False,The Brooklyn Nets waived Kaiser Gates.
2022-23,2022-10-01,waiver,,OKC,1,brownst02,1,0,0,False,The Oklahoma City Thunder waived Sterling Brown.
2022-23,2022-10-01,signing,other_signing,MEM,1,adamsst01,1,0,0,False,The Memphis Grizzlies signed Steven Adams to a contract extension.
2022-23,2022-10-01,signing,other_signing,BRK,1,rachabr01,1,0,0,False,The Brooklyn Nets signed Brandon Rachal.
2022-23,2022-10-02,other,,HOU,1,fernabr01,1,0,0,False,The Houston Rockets converted Bruno Fernando from a two-way contract to a regular contract.
2022-23,2022-10-02,signing,other_signing,MIA,1,herroty01,1,0,0,False,The Miami Heat signed Tyler Herro to a contract extension.
2022-23,2022-10-02,signing,other_signing,OKC,1,killesa01,1,0,0,False,The Oklahoma City Thunder signed Sacha Killeya-Jones.
2022-23,2022-10-02,waiver,,BRK,1,rachabr01,1,0,0,False,The Brooklyn Nets waived Brandon Rachal.
2022-23,2022-10-03,signing,other_signing,NOP,1,nancela02,1,0,0,False,The New Orleans Pelicans signed Larry Nance Jr. to a contract extension.
2022-23,2022-10-03,signing,two_way,NOP,1,butlejo01,1,0,0,False,The New Orleans Pelicans signed John Butler to a two-way contract.
2022-23,2022-10-03,signing,other_signing,BOS,1,griffbl01,1,0,0,False,The Boston Celtics signed Blake Griffin.
2022-23,2022-10-03,waiver,,GSW,1,willitr03,1,0,0,False,The Golden State Warriors waived Trevion Williams.
2022-23,2022-10-03,waiver,,GSW,1,mccluma01,1,0,0,False,The Golden State Warriors waived Mac McClung.
2022-23,2022-10-04,waiver,,LAC,1,willilu01,1,0,0,False,The Los Angeles Clippers waived Lucas Williamson.
2022-23,2022-10-04,waiver,,LAC,1,morgaju01,1,0,0,False,The Los Angeles Clippers waived Juwan Morgan.
