season,player_id,player,age,g,gs,mp,per,ts_pct,usg_pct,ws,ws_48,obpm,dbpm,bpm,vorp
2005-06,davisba01,Baron Davis,26.0,54.0,48.0,1971.0,18.3,0.489,25.9,4.4,0.106,2.8,-0.2,2.6,2.3
2005-06,abdursh01,Shareef Abdur-Rahim,29.0,72.0,30.0,1961.0,17.2,0.588,20.1,6.2,0.152,0.5,0.4,0.9,1.4
2005-06,willima02,Marvin Williams,19.0,79.0,7.0,1952.0,12.2,0.523,16.9,2.8,0.069,-1.8,-1.7,-3.5,-0.7
2005-06,jeffrja01,Jared Jeffries,24.0,77.0,77.0,1951.0,11.6,0.5,13.4,3.1,0.076,-1.1,0.4,-0.8,0.6
2005-06,mingya01,Yao Ming,25.0,57.0,57.0,1949.0,25.6,0.592,29.9,8.6,0.211,3.5,0.9,4.4,3.2
2005-06,harprma01,Matt Harpring,29.0,71.0,32.0,1944.0,16.3,0.542,22.0,4.7,0.115,0.6,-1.2,-0.6,0.7
2005-06,dampier01,Erick Dampier,30.0,82.0,36.0,1934.0,13.9,0.531,13.4,4.8,0.119,-1.5,-0.1,-1.7,0.2
2005-06,dixonju01,Juan Dixon,27.0,76.0,42.0,1920.0,14.6,0.516,25.2,1.2,0.03,-0.2,-1.7,-1.9,0.0
2005-06,howarjo01,Josh Howard,25.0,59.0,58.0,1915.0,19.3,0.536,22.9,6.7,0.168,2.2,0.0,2.2,2.0
2005-06,poseyja01,James Posey,29.0,67.0,63.0,1914.0,9.8,0.572,11.6,4.2,0.104,-0.8,1.0,0.1,1.0
2005-06,martike02,Kevin Martin,22.0,72.0,41.0,1913.0,14.8,0.604,17.4,5.5,0.137,0.4,0.0,0.4,1.2
2005-06,boganke01,Keith Bogans,25.0,72.0,31.0,1912.0,10.7,0.497,17.2,2.3,0.058,-1.8,0.5,-1.4,0.3
2005-06,collija04,Jason Collins,27.0,71.0,70.0,1895.0,5.5,0.425,9.0,2.0,0.051,-5.3,1.5,-3.8,-0.9
2005-06,wallage01,Gerald Wallace,23.0,55.0,52.0,1895.0,21.3,0.578,19.3,6.4,0.163,2.0,2.9,4.9,3.2
2005-06,haywobr01,Brendan Haywood,26.0,79.0,70.0,1879.0,13.8,0.542,14.9,3.9,0.099,-1.5,-0.2,-1.7,0.2
2005-06,butlera01,Rasual Butler,26.0,79.0,20.0,1875.0,10.8,0.501,18.6,1.7,0.045,-0.9,-1.1,-2.0,0.0
2005-06,willija02,Jason Williams,30.0,59.0,56.0,1874.0,15.0,0.561,18.5,4.8,0.124,1.7,-0.5,1.1,1.5
2005-06,curryed01,Eddy Curry,23.0,72.0,69.0,1865.0,17.0,0.604,24.1,3.3,0.084,-0.5,-1.6,-2.1,0.0
2005-06,robincl02,Clifford Robinson,39.0,80.0,13.0,1863.0,9.6,0.502,15.4,2.8,0.073,-2.7,0.7,-1.9,0.1
2005-06,cambyma01,Marcus Camby,31.0,56.0,54.0,1857.0,19.9,0.499,19.5,5.5,0.141,0.1,3.3,3.5,2.6
2005-06,jonesfr01,Fred Jones,26.0,68.0,2.0,1837.0,11.0,0.517,18.7,2.6,0.069,-1.8,0.7,-1.0,0.4
2005-06,foylead01,Adonal Foyle,30.0,77.0,72.0,1824.0,10.3,0.524,10.0,2.8,0.075,-3.4,1.7,-1.7,0.1
2005-06,ginobma01,Manu GinÃ³bili,28.0,65.0,56.0,1813.0,22.4,0.593,25.0,8.8,0.234,3.8,3.0,6.8,4.1
2005-06,onealsh01,Shaquille O'Neal,33.0,59.0,58.0,1806.0,24.4,0.586,30.0,6.2,0.164,2.4,0.3,2.7,2.1
2005-06,onealje01,Jermaine O'Neal,27.0,51.0,47.0,1802.0,20.4,0.53,28.9,4.9,0.131,0.6,1.7,2.3,2.0
2005-06,patteru01,Ruben Patterson,30.0,71.0,22.0,1792.0,16.4,0.547,24.1,2.1,0.055,0.2,-0.8,-0.5,0.7
2005-06,nelsoja01,Jameer Nelson,23.0,62.0,33.0,1784.0,19.5,0.567,25.1,4.9,0.132,2.6,-0.6,2.0,1.8
2005-06,blakest01,Steve Blake,25.0,68.0,57.0,1781.0,14.5,0.549,15.8,2.8,0.076,1.0,-2.0,-1.0,0.4
2005-06,jacksbo01,Bobby Jackson,32.0,71.0,15.0,1775.0,14.6,0.497,25.0,3.5,0.095,0.6,-0.2,0.4,1.1
2005-06,jonesja02,James Jones,25.0,75.0,24.0,1772.0,13.2,0.551,16.9,4.0,0.11,0.1,-0.2,-0.1,0.9
2005-06,daniema01,Marquis Daniels,25.0,62.0,29.0,1766.0,14.9,0.535,18.3,4.2,0.114,0.1,0.4,0.5,1.1
2005-06,grangda01,Danny Granger,22.0,78.0,17.0,1765.0,14.7,0.54,16.4,5.1,0.139,-0.7,1.8,1.1,1.4
2005-06,dalemsa01,Samuel Dalembert,24.0,66.0,52.0,1761.0,14.2,0.568,13.8,3.6,0.097,-2.9,1.2,-1.8,0.1
2005-06,buckngr01,Greg Buckner,29.0,73.0,27.0,1758.0,11.4,0.556,12.6,3.8,0.103,-1.2,1.7,0.5,1.1
2005-06,mcgratr01,Tracy McGrady,26.0,47.0,47.0,1745.0,21.9,0.494,35.0,4.1,0.112,4.8,0.7,5.4,3.3
2005-06,mcdyean01,Antonio McDyess,31.0,82.0,0.0,1733.0,15.5,0.52,18.9,4.6,0.128,-1.7,0.5,-1.2,0.3
2005-06,collija03,Jarron Collins,27.0,79.0,41.0,1730.0,11.0,0.551,11.7,3.9,0.107,-2.2,0.0,-2.1,-0.1
2005-06,atkinch01,Chucky Atkins,31.0,71.0,41.0,1713.0,12.9,0.526,20.2,3.6,0.1,-0.1,-0.8,-0.9,0.4
2005-06,brownde02,Devin Brown,27.0,81.0,14.0,1711.0,10.3,0.493,19.5,1.4,0.041,-2.1,-1.3,-3.3,-0.6
2005-06,bonnema01,Matt Bonner,25.0,78.0,6.0,1710.0,13.7,0.582,14.4,4.1,0.114,1.3,-0.6,0.7,1.2
2005-06,wrighlo02,Lorenzen Wright,30.0,78.0,58.0,1689.0,12.2,0.496,15.1,3.7,0.106,-2.7,0.7,-2.1,0.0
2005-06,wellsbo01,Bonzi Wells,29.0,52.0,41.0,1684.0,16.6,0.507,22.4,3.4,0.096,-0.4,0.8,0.4,1.0
2005-06,telfase01,Sebastian Telfair,20.0,68.0,30.0,1641.0,13.0,0.491,22.2,0.6,0.017,-1.2,-1.6,-2.8,-0.3
2005-06,jackja01,Jarrett Jack,22.0,79.0,4.0,1599.0,12.3,0.528,17.8,1.2,0.035,-1.7,-1.4,-3.1,-0.4
2005-06,barbole01,Leandro Barbosa,23.0,57.0,11.0,1592.0,15.1,0.589,20.3,3.8,0.115,0.4,-0.5,-0.1,0.8
2005-06,grahajo01,Joey Graham,23.0,80.0,24.0,1581.0,10.2,0.564,16.5,1.3,0.038,-2.7,-1.1,-3.8,-0.7
2005-06,fosteje01,Jeff Foster,29.0,63.0,37.0,1581.0,15.1,0.581,11.3,5.7,0.174,-0.3,0.4,0.0,0.8
2005-06,elsonfr01,Francisco Elson,29.0,72.0,54.0,1579.0,10.1,0.556,10.8,2.9,0.087,-3.2,1.0,-2.2,-0.1
2005-06,watsoea01,Earl Watson,26.0,70.0,10.0,1578.0,14.6,0.558,19.7,2.7,0.081,0.9,-0.7,0.2,0.9
2005-06,fryech01,Channing Frye,22.0,65.0,14.0,1572.0,18.1,0.541,24.2,3.5,0.108,0.7,-1.4,-0.7,0.5
2005-06,jasiksa01,Å arÅ«nas JasikeviÄius,29.0,75.0,15.0,1557.0,12.9,0.561,18.0,3.3,0.103,0.1,0.0,0.1,0.9
2005-06,martike01,Kenyon Martin,28.0,56.0,49.0,1546.0,16.7,0.533,21.6,3.8,0.117,-0.3,0.4,0.1,0.8
2005-06,robinna01,Nate Robinson,21.0,72.0,26.0,1544.0,12.6,0.512,22.5,1.5,0.046,-1.0,-1.1,-2.1,-0.1
2005-06,georgde01,Devean George,28.0,71.0,5.0,1542.0,11.3,0.484,15.3,2.6,0.082,-1.3,0.5,-0.8,0.4
2005-06,boykiea01,Earl Boykins,29.0,60.0,0.0,1542.0,15.7,0.513,23.8,2.9,0.09,1.3,-1.3,0.0,0.7
2005-06,mihmch01,Chris Mihm,26.0,59.0,56.0,1541.0,15.3,0.552,18.7,4.0,0.124,-1.4,-0.5,-1.9,0.0
2005-06,cookbr01,Brian Cook,25.0,81.0,46.0,1535.0,15.6,0.578,18.3,4.5,0.142,0.2,-0.3,-0.1,0.7
2005-06,willima01,Mo Williams,23.0,58.0,12.0,1531.0,15.0,0.518,23.4,2.5,0.079,0.8,-0.8,0.0,0.8
2005-06,wilcoch01,Chris Wilcox,23.0,77.0,24.0,1529.0,17.3,0.605,17.5,4.4,0.138,0.4,-0.5,-0.1,0.7
2005-06,wilkida02,Damien Wilkins,26.0,82.0,12.0,1525.0,13.1,0.529,17.4,1.7,0.054,-0.8,-0.9,-1.6,0.1
2005-06,livinsh01,Shaun Livingston,20.0,61.0,14.0,1525.0,10.2,0.46,15.0,1.3,0.041,-2.6,0.7,-1.9,0.1
2005-06,stackje01,Jerry Stackhouse,31.0,55.0,11.0,1525.0,14.5,0.511,25.2,2.4,0.076,0.1,-1.5,-1.5,0.2
2005-06,nestera01,Rasho NesteroviÄ,29.0,80.0,51.0,1515.0,11.0,0.521,12.6,3.7,0.118,-3.3,1.8,-1.5,0.2
2005-06,rossqu01,Quinton Ross,24.0,67.0,45.0,1515.0,7.4,0.465,11.8,1.6,0.05,-4.0,1.5,-2.5,-0.2
2005-06,diopde01,DeSagana Diop,24.0,81.0,45.0,1510.0,11.5,0.512,6.9,4.1,0.13,-2.3,2.8,0.5,1.0
